insert into account values(3300000, "name20000", 990.54);
insert into account values(3300001, "name20001", 971.183);
insert into account values(3300002, "name20002", 606.511);
insert into account values(3300003, "name20003", 315.232);
insert into account values(3300004, "name20004", 577.008);
insert into account values(3300005, "name20005", 852.613);
insert into account values(3300006, "name20006", 264.323);
insert into account values(3300007, "name20007", 584.293);
insert into account values(3300008, "name20008", 584.548);
insert into account values(3300009, "name20009", 306.43);
insert into account values(3300010, "name20010", 363.396);
insert into account values(3300011, "name20011", 872.048);
insert into account values(3300012, "name20012", 397.396);
insert into account values(3300013, "name20013", 447.444);
insert into account values(3300014, "name20014", 268.729);
insert into account values(3300015, "name20015", 745.432);
insert into account values(3300016, "name20016", 60.985);
insert into account values(3300017, "name20017", 131.724);
insert into account values(3300018, "name20018", 194.101);
insert into account values(3300019, "name20019", 842.466);
insert into account values(3300020, "name20020", 743.319);
insert into account values(3300021, "name20021", 127.289);
insert into account values(3300022, "name20022", 143.406);
insert into account values(3300023, "name20023", 303.85);
insert into account values(3300024, "name20024", 218.519);
insert into account values(3300025, "name20025", 24.815);
insert into account values(3300026, "name20026", 395.262);
insert into account values(3300027, "name20027", 513.641);
insert into account values(3300028, "name20028", 912.014);
insert into account values(3300029, "name20029", 210.361);
insert into account values(3300030, "name20030", 25.773);
insert into account values(3300031, "name20031", 108.865);
insert into account values(3300032, "name20032", 804.043);
insert into account values(3300033, "name20033", 498.267);
insert into account values(3300034, "name20034", 351.093);
insert into account values(3300035, "name20035", 288.09);
insert into account values(3300036, "name20036", 48.653);
insert into account values(3300037, "name20037", 923.697);
insert into account values(3300038, "name20038", 418.612);
insert into account values(3300039, "name20039", 17.161);
insert into account values(3300040, "name20040", 457.779);
insert into account values(3300041, "name20041", 170.406);
insert into account values(3300042, "name20042", 864.254);
insert into account values(3300043, "name20043", 847.868);
insert into account values(3300044, "name20044", 81.97);
insert into account values(3300045, "name20045", 722.566);
insert into account values(3300046, "name20046", 61.081);
insert into account values(3300047, "name20047", 527.735);
insert into account values(3300048, "name20048", 116.131);
insert into account values(3300049, "name20049", 785.796);
insert into account values(3300050, "name20050", 479.711);
insert into account values(3300051, "name20051", 639.65);
insert into account values(3300052, "name20052", 979.667);
insert into account values(3300053, "name20053", 392.716);
insert into account values(3300054, "name20054", 481.424);
insert into account values(3300055, "name20055", 637.376);
insert into account values(3300056, "name20056", 877.257);
insert into account values(3300057, "name20057", 151.027);
insert into account values(3300058, "name20058", 116.069);
insert into account values(3300059, "name20059", 513.074);
insert into account values(3300060, "name20060", 225.355);
insert into account values(3300061, "name20061", 911.626);
insert into account values(3300062, "name20062", 865.222);
insert into account values(3300063, "name20063", 183.842);
insert into account values(3300064, "name20064", 557.921);
insert into account values(3300065, "name20065", 398.816);
insert into account values(3300066, "name20066", 96.124);
insert into account values(3300067, "name20067", 119.056);
insert into account values(3300068, "name20068", 298.344);
insert into account values(3300069, "name20069", 543.14);
insert into account values(3300070, "name20070", 844.264);
insert into account values(3300071, "name20071", 924.409);
insert into account values(3300072, "name20072", 557.368);
insert into account values(3300073, "name20073", 608.79);
insert into account values(3300074, "name20074", 845.042);
insert into account values(3300075, "name20075", 160.203);
insert into account values(3300076, "name20076", 8.511);
insert into account values(3300077, "name20077", 402.559);
insert into account values(3300078, "name20078", 972.171);
insert into account values(3300079, "name20079", 878.282);
insert into account values(3300080, "name20080", 959.108);
insert into account values(3300081, "name20081", 908.741);
insert into account values(3300082, "name20082", 843.604);
insert into account values(3300083, "name20083", 566.286);
insert into account values(3300084, "name20084", 195.157);
insert into account values(3300085, "name20085", 615.744);
insert into account values(3300086, "name20086", 907.428);
insert into account values(3300087, "name20087", 181.307);
insert into account values(3300088, "name20088", 850.089);
insert into account values(3300089, "name20089", 571.488);
insert into account values(3300090, "name20090", 867.15);
insert into account values(3300091, "name20091", 514.263);
insert into account values(3300092, "name20092", 757.574);
insert into account values(3300093, "name20093", 282.9);
insert into account values(3300094, "name20094", 344.777);
insert into account values(3300095, "name20095", 419.752);
insert into account values(3300096, "name20096", 657.181);
insert into account values(3300097, "name20097", 344.972);
insert into account values(3300098, "name20098", 712.83);
insert into account values(3300099, "name20099", 598.683);
